City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,kudachi,16.6333,74.85,26.71,66,100,3.22,IN,1683577568
320,springbok,-29.6643,17.8865,13.98,31,1,1.58,ZA,1683577569
321,dudinka,69.4058,86.1778,-2.43,97,99,2.36,RU,1683577569
322,olinda,-8.0089,-34.8553,27.85,69,40,5.14,BR,1683577459
323,farasan,16.7022,42.1183,29.3,72,56,1.68,SA,1683577570
324,enewetak,11.3474,162.3373,27.35,82,100,8.63,MH,1683577570
325,bontang,0.1333,117.5,25.38,90,100,1.79,ID,1683577570
326,north platte,41.1239,-100.7654,25.62,27,0,2.57,US,1683577571
327,chaman,30.9236,66.4512,20.18,15,0,1.89,PK,1683577572
328,porto franco,-6.3383,-47.3992,29.48,71,18,1.56,BR,1683577572
329,albert lea,43.648,-93.3683,24.42,60,0,0.0,US,1683577572
330,lerwick,60.1545,-1.1494,8.0,99,100,6.63,GB,1683577573
331,hadibu,12.65,54.0333,28.61,67,81,0.77,YE,1683577573
332,oujda-angad,34.6805,-1.9076,21.35,35,0,2.06,MA,1683577573
333,murun-kuren,49.6342,100.1625,4.54,96,100,2.45,MN,1683577574
334,namibe,-15.1961,12.1522,23.85,73,94,1.57,AO,1683577574
335,el calafate,-50.3408,-72.2768,7.72,65,14,3.11,AR,1683577575
336,remire-montjoly,4.9167,-52.2667,28.02,78,75,5.66,GF,1683577575
337,richards bay,-28.783,32.0377,19.42,89,100,3.57,ZA,1683577575
338,port-vila,-17.7338,168.3219,20.78,94,20,0.51,VU,1683577575
339,sant lluis,39.8526,4.2594,17.22,72,20,1.54,ES,1683577576
340,inari,68.906,27.0288,7.11,99,100,1.81,FI,1683577576
341,ulysses,37.5814,-101.3552,28.16,19,0,5.14,US,1683577576
342,isiolo,0.3546,37.5822,20.65,74,81,5.45,KE,1683577577
343,mukalla,14.5425,49.1242,29.05,55,7,0.94,YE,1683577577
344,barra de santo antonio,-9.4047,-35.5072,28.6,76,21,3.15,BR,1683577578
345,sishui,35.6489,117.2758,13.12,41,100,0.42,CN,1683577578
346,mugia,43.1041,-9.2179,17.87,97,100,4.64,ES,1683577578
347,regina,50.4501,-104.6178,15.02,55,100,6.17,CA,1683577498
348,pasuquin,18.3328,120.6177,26.56,83,100,3.99,PH,1683577579
349,queenstown,-31.8976,26.8753,10.91,82,91,0.94,ZA,1683577579
350,jiazi,22.8779,116.067,21.41,80,100,7.02,CN,1683577580
351,prey veng,11.4868,105.3253,28.63,71,100,2.29,KH,1683577580
352,itaueira,-7.6033,-43.0256,33.06,33,12,1.97,BR,1683577580
353,ra's bayrut,33.9,35.4833,19.81,77,20,2.06,LB,1683577581
354,ust'-kalmanka,52.1207,83.305,15.31,46,52,2.96,RU,1683577581
355,cova figueira,14.8905,-24.2934,20.95,79,0,7.31,CV,1683577581
356,kharp,66.8014,65.8081,-12.48,92,20,3.28,RU,1683577582
357,boa vista,2.8197,-60.6733,28.99,74,40,3.09,BR,1683577582
358,penticton,49.4806,-119.5858,19.21,48,75,2.57,CA,1683577583
359,dawei,14.0833,98.2,26.5,88,100,1.22,MM,1683577583
360,bairnsdale,-37.8333,147.6167,10.03,91,98,4.38,AU,1683577583
361,velyka pysarivka,50.4259,35.485,5.72,64,98,3.33,UA,1683577584
